model,sort_order,sha256,seq_len,h1_nat,h2_nat,h_bigram_nat,d_h1_nat,d_h2_nat,d_h_bigram_nat,spatial_gap_median,spatial_gap_mean,spatial_gap_p90,seq_face_adj_frac,seq_26_adj_frac,seq_consec_eucl_mean,seq_consec_eucl_median
our_sparse_sdf_vqvae,pre_morton,d61b5549001421631e1b11e4614b5a704395a821223eadbc30a3ce11e332c01f,12351,8.344645369784487,8.15311003143516,9.42096233983137,nan,nan,nan,270.0,226.95844426438245,506.0,0.6157085020242915,0.6204858299595142,0.11094914694423673,0.015625
our_sparse_sdf_vqvae,post_morton,d61b5549001421631e1b11e4614b5a704395a821223eadbc30a3ce11e332c01f,12351,8.344645369784466,8.153110031435155,9.420850089275813,-2.1316282072803006e-14,-5.329070518200751e-15,-0.00011225055555641461,7.0,160.761835860632,304.0,0.4954655870445344,0.8576518218623482,0.025883808587166546,0.02209708691207961
shapellm_vqvae3d,pre_morton,d61b5549001421631e1b11e4614b5a704395a821223eadbc30a3ce11e332c01f,1024,5.787435374021291,4.329360991372392,6.474173608936559,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,d61b5549001421631e1b11e4614b5a704395a821223eadbc30a3ce11e332c01f,1024,5.7874353740212925,4.329360991372392,6.645478668996963,1.7763568394002505e-15,0.0,0.17130506006040402,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,6a4f6402ea70b48ddfb575ada3892ce554068d42c4a8ff235adbef3c7f621612,6839,7.315398427308539,6.848825739877933,8.744540504934244,nan,nan,nan,108.0,110.62592567883114,226.0,0.7044457443696988,0.707663059374086,0.06658165980860797,0.015625
our_sparse_sdf_vqvae,post_morton,6a4f6402ea70b48ddfb575ada3892ce554068d42c4a8ff235adbef3c7f621612,6839,7.315398427308545,6.848825739877924,8.755589441719303,6.217248937900877e-15,-8.881784197001252e-15,0.011048936785059027,9.0,154.6238574954967,311.0,0.5026323486399532,0.8457151213805206,0.02603418472962239,0.015625
shapellm_vqvae3d,pre_morton,6a4f6402ea70b48ddfb575ada3892ce554068d42c4a8ff235adbef3c7f621612,1024,6.078828120761933,5.758240142827797,6.872641654592705,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,6a4f6402ea70b48ddfb575ada3892ce554068d42c4a8ff235adbef3c7f621612,1024,6.078828120761929,5.758240142827797,6.9045680377684056,-3.552713678800501e-15,0.0,0.0319263831757004,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,9802c7b0210edf7c9b3a006ffde2fa7bd03b6243d88f76cc03d07c20bd09b9ad,908,6.2664607553256815,5.957672971916841,6.802500254078011,nan,nan,nan,12.0,11.158609451385116,23.0,0.5005512679162073,0.7342888643880926,0.05164718062947864,0.015625
our_sparse_sdf_vqvae,post_morton,9802c7b0210edf7c9b3a006ffde2fa7bd03b6243d88f76cc03d07c20bd09b9ad,908,6.266460755325675,5.957672971916839,6.802500254078012,-6.217248937900877e-15,-1.7763568394002505e-15,8.881784197001252e-16,449.0,262.68441064638785,456.0,0.515986769570011,0.6923925027563396,0.03682147081184791,0.015625
shapellm_vqvae3d,pre_morton,9802c7b0210edf7c9b3a006ffde2fa7bd03b6243d88f76cc03d07c20bd09b9ad,1024,2.4171953985157155,1.1663235622753818,3.7640899990409435,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,9802c7b0210edf7c9b3a006ffde2fa7bd03b6243d88f76cc03d07c20bd09b9ad,1024,2.4171953985157155,1.1663235622753818,3.758779239836735,0.0,0.0,-0.005310759204208537,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,9d66793c6077679e2a324b2b2d98cad7cd37639103f31af070cc41a648c5c549,7320,7.761703334649508,7.380000961093028,8.77899639801022,nan,nan,nan,95.5,120.1787167974487,301.0,0.6683973220385299,0.6753654870884,0.05618898662640281,0.015625
our_sparse_sdf_vqvae,post_morton,9d66793c6077679e2a324b2b2d98cad7cd37639103f31af070cc41a648c5c549,7320,7.761703334649515,7.380000961093031,8.796985495302511,7.105427357601002e-15,2.6645352591003757e-15,0.01798909729229159,9.0,195.94811380135118,239.0,0.5043038666484493,0.8503893974586693,0.0261324684874863,0.015625
shapellm_vqvae3d,pre_morton,9d66793c6077679e2a324b2b2d98cad7cd37639103f31af070cc41a648c5c549,1024,2.5446438604064485,1.1165020737624334,3.7360490175434413,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
shapellm_vqvae3d,post_morton,9d66793c6077679e2a324b2b2d98cad7cd37639103f31af070cc41a648c5c549,1024,2.54464386040645,1.1165020737624334,3.720719144908718,1.3322676295501878e-15,0.0,-0.015329872634723518,14.0,50.930320150659135,217.10000000000218,0.5004887585532747,0.9384164222873901,0.17344705470686445,0.125
our_sparse_sdf_vqvae,pre_morton,ab61484f508e93df7cd528f141539f5ad64b0134248bb5df690608ad36704f38,1745,6.520307462907933,6.155170784010164,7.332042037253606,nan,nan,nan,86.0,178.48890784982936,412.0,0.7861238532110092,0.893348623853211,0.04379539550326046,0.015625
our_sparse_sdf_vqvae,post_morton,ab61484f508e93df7cd528f141539f5ad64b0134248bb5df690608ad36704f38,1745,6.520307462907932,6.155170784010157,7.370177485173941,-8.881784197001252e-16,-7.105427357601002e-15,0.038135447920335075,9.0,108.41103009618368,517.0,0.5177752293577982,0.8772935779816514,0.026487629626019006,0.015625
shapellm_vqvae3d,pre_morton,ab61484f508e93df7cd528f141539f5ad64b0134248bb5df690608ad36704f38,1024,4.390197529781375,2.973415408600519,5.965063112323456,nan,nan,nan,113.0,89.35291902071563,144.0,0.9384164222873901,0.9384164222873901,0.11924135325758951,0.0625
